situation,xg,time,atime,plyr_name,country,pos,jersey_no,goal_type,x,y,g,t,h,vid,key,st
assisted,0.19,70,,Andrej Kramarić,Croatia,F,27,regular,-8.5,13.1,27,1,3,0,0,
fast-break,0.56,90,4,Lovro Majer,Croatia,M,19,regular,-5.3,9.2,27,1,4,0,0,
assisted,0.21,83,,Niclas Füllkrug,Germany,F,14,regular,-14.7,8,28,2,1,0,0,
assisted,0.29,62,,Álvaro Morata,Spain,F,19,regular,5.3,6.9,28,1,1,0,0,
corner,0.95,29,,Jean-Charles Castelletto,Cameroon,D,21,regular,-3.4,1,29,1,1,0,0,
assisted,0.3,63,,Vincent Aboubakar,Cameroon,F,10,regular,-15.2,14.3,29,1,2,0,0,
fast-break,0.59,66,,Eric Maxim Choupo-Moting,Cameroon,F,13,regular,4.4,8,29,1,3,0,0,
assisted,0.06,45,3,Sergej Milinković-Savić,Serbia,M,22,regular,-7.7,19.2,29,2,2,0,0,
set-piece,0.07,45,1,Strahinja Pavlović,Serbia,D,31,regular,-4.2,9.8,29,2,1,0,0,
assisted,0.84,53,,Aleksandar Mitrović,Serbia,F,9,regular,2.2,6.8,29,2,3,0,0,
set-piece,0.73,24,,Mohammed Salisu,Ghana,D,22,regular,0.6,3.8,30,2,1,0,0,
assisted,0.28,34,,Mohammed Kudus,Ghana,M,14,regular,-3,6.8,30,2,2,0,0,
assisted,0.13,68,,Mohammed Kudus,Ghana,M,14,regular,-7.9,11.1,30,2,3,0,0,
assisted,0.21,58,,Gue-sung Cho,South Korea,F,10,regular,3.8,7.5,30,1,1,0,0,
assisted,0.37,61,,Gue-sung Cho,South Korea,F,10,regular,-4.5,4.1,30,1,2,0,0,
assisted,0.07,83,,Casemiro,Brazil,M,18,regular,13.3,12.7,31,1,1,0,0,
assisted,0.02,54,,Bruno Fernandes,Portugal,M,8,regular,33.9,19.8,32,1,1,0,0,
penalty,0.79,90,3,Bruno Fernandes,Portugal,F,8,penalty,0,11.5,32,1,2,0,0,
assisted,0.07,26,,Cody Gakpo,Netherlands,F,18,regular,4.2,15.5,33,1,1,0,0,
regular,0.85,49,,Frenkie de Jong,Netherlands,M,21,regular,-0.4,2.3,33,1,2,0,0,
corner,0.45,67,,Moisés Caicedo,Ecuador,M,25,regular,4.5,2,34,1,1,0,0,
penalty,0.79,44,,Ismaila Sarr,Senegal,F,18,penalty,0,11.5,34,2,1,0,0,
set-piece,0.45,70,,Kalidou Koulibaly,Senegal,D,3,regular,-4.9,5.7,34,2,2,0,0,
free-kick,0.05,50,,Marcus Rashford,England,M,10,regular,12.9,24.8,35,2,1,0,0,
assisted,0.28,51,,Phil Foden,England,M,47,regular,9,4.3,35,2,2,0,0,
